rri_1,rri_2,rri_3,rri_4,rri_5,rri_6,rri_7,rri_8,rri_9,rri_10,rri_11,rri_12,rri_13,rri_14,rri_15,rri_16,rri_17,rri_18,rri_19,rri_20,rri_21,rri_22,rri_23,rri_24,rri_25,rri_26,rri_27,rri_28
862.029620875402,872.897667544529,1013.08060284417,640.042949533177,826.548314918796,960.140587144281,1131.18873043395,1144.28264641142,747.821974146653,988.463875598723,800.640215529253,799.754295802217,972.553150205939,1025.11891776387,1015.30975618945,914.990024117424,897.379047911901,1053.4370999107,953.397252523495,790.423023581311,926.657507069549,1082.58941884794,902.694120687394,1103.43487850903,840.088827331083,1088.41301767929,1056.38083494913,1187.29315532917
856.614707611388,875.407562638255,1016.53037629546,639.832388982203,831.909977636102,963.348380597664,1131.94358286437,1145.34618516152,748.248855914451,996.871599095206,805.475856673522,802.214182415197,961.758330779803,1025.96882096963,1016.94032001059,911.955920780704,898.679860574133,1052.42302383229,940.121941915093,789.048455113583,925.073372742133,1074.65157694414,901.110577660486,1111.9388932818,845.769123793408,1091.72466526011,1052.40237084145,1182.81786186501
851.260248887327,880.528504210024,1027.23777136155,639.207224938507,836.745774348757,965.750417184468,1130.15850116442,1146.52631201175,746.674500977472,1005.39022036561,809.556597789866,804.448086021286,941.580547431134,1026.48142190824,1019.59323437951,906.948001935942,907.858600236627,1048.43945562204,931.588542913725,789.162009788158,923.125522349469,1065.80650374584,912.213411301758,1119.22942961952,850.692215178256,1092.67857905123,1050.32199188205,1182.45061069811
846.010563692643,889.649974084688,1039.61654817081,637.377218858147,839.07078311425,965.416224003411,1126.39104963006,1147.15529743647,743.363678601452,1012.41006795634,813.29641715401,806.348719923552,921.602493629942,1025.7410398779,1021.99562829949,902.559406877878,928.711111459274,1042.72207392664,930.86577933901,790.947799196292,920.876942765787,1057.72672722165,934.318252538373,1124.09383411645,855.776339668934,1091.30082662696,1052.73118076257,1185.34783754567
840.803017551209,901.395002533814,1048.04841124075,634.212339269194,838.895000356793,961.775921381932,1121.34997374588,1146.57925818406,739.250360153371,1016.85212379223,818.01954859983,807.63456416889,910.993302799345,1023.57146468142,1022.82118480601,902.849684316722,959.780811347828,1037.46349470505,935.694444375852,794.090087008562,918.604842759838,1052.08161889492,957.774165666949,1126.03624855794,861.97234501719,1087.95018648154,1059.99714068356,1190.21218200815
835.578073003758,913.546252643536,1047.44404026046,630.84768153074,837.681672102021,955.921192152671,1115.7440189965,1144.64179871444,735.334476254469,1018.7216944697,825.195709946851,808.001248558168,910.602723728159,1021.56488502408,1020.77360411733,911.882701525072,992.607701988111,1034.85874504187,942.777422871839,798.20596242731,916.80875141239,1049.97210582146,972.68851711985,1125.80958090583,869.787291251319,1082.98598796663,1069.82929098893,1195.485272134
830.364821275759,923.910023075639,1038.6552364393,628.466898994949,836.92001650421,949.044718461907,1110.24401878497,1141.81012501642,733.201977899825,1018.15650801019,835.759393132366,807.399180441152,913.574186612707,1021.57228611769,1015.74657134887,931.082848783753,1018.24514543587,1036.88965982515,948.846246277764,802.869593045491,915.998522086498,1051.27706008784,972.003586485144,1124.29204456549,878.555673804628,1076.7938364041,1079.78094755765,1199.60561331663
825.290067417823,931.162508688188,1026.27017595034,627.294533271377,837.397941287308,942.303513759056,1105.11482132422,1138.59091643759,734.784737863988,1015.29615800286,847.848202142286,806.817319783308,912.76040007733,1025.4443887346,1009.1930826358,954.803702518386,1028.68753616528,1042.75305352779,952.111326833446,807.505618325222,916.565088353071,1055.71693567018,961.640714804666,1122.36185294228,887.420565329635,1070.36876474368,1087.41282050703,1201.01171094946
820.485629115878,935.078320862674,1014.93510798311,626.994516494981,838.610252702164,936.22514079421,1100.374954739,1135.49085232555,741.818370729966,1010.74596137233,858.689170729521,807.509217680397,903.149933444035,1034.14291960425,1002.67171245711,976.227260174431,1025.17937977206,1049.69173316904,952.947102878316,811.506136220001,918.014377678311,1063.01218654378,951.233435096597,1120.81328308585,895.481292161775,1065.31806939251,1091.41309373324,1198.66710155066
816.06269404356,935.502384569157,1009.14449887631,627.144996531858,839.912378628291,930.798440432018,1096.03948925356,1132.96395694633,754.278556988729,1006.18713220685,865.686272116068,810.394354159586,892.420830235739,1045.75698736317,997.734650603967,988.747696102491,1014.21786336904,1054.9080867694,951.899944216979,814.441585740423,919.453249845381,1072.57777741149,950.414760617306,1119.81613870109,901.379987016925,1063.2758898977,1092.79759657835,1193.78233813396
812.073032496002,932.421221259421,1009.55656126944,627.140131895046,840.800710674868,925.994868520813,1092.12201425031,1131.10556137126,771.229352869913,1003.45234126768,868.822734317118,813.595424881739,892.919008922423,1057.79655313645,995.473443309929,990.737416894723,1002.36055048804,1055.70236541671,949.525578214964,816.993105638218,919.987582104085,1082.6118827849,964.91733311778,1119.25870792052,903.486505238284,1065.87196823021,1092.86990077254,1188.16898349138
808.557782258386,927.135991696164,1012.79104317149,626.430792041391,841.486830731615,921.752519697648,1088.42400686499,1129.86142031274,791.655611857959,1004.37288550263,870.029299309763,813.840760891664,916.93999145307,1067.77157804921,996.217062691698,985.602215137382,995.800045034709,1051.67762105971,946.539776430079,820.268706751669,919.297468959889,1091.00976589524,987.552222022462,1119.02791577961,900.169553148429,1073.48409135708,1092.93357804598,1183.63860684324
805.512855288872,921.661266315538,1015.2754340983,625.401332776321,842.408588803104,917.742724675257,1084.31597127786,1129.17679211254,814.020209235995,1009.75492285688,871.28273950882,808.030871667202,967.343112784416,1073.91510995198,1000.2228575597,976.971091491985,995.719659671334,1044.76894298088,943.792633124473,825.253995760098,918.609097125764,1095.66668997371,1008.45821384628,1119.01077496519,891.212741648099,1083.52056400367,1094.07873426403,1181.99964982551
802.62719712106,918.018692786366,1013.52357837079,625.022223104649,843.972330788584,913.508859468621,1079.11613372135,1128.99451590022,836.554582112806,1017.56141802233,873.828453928235,796.729383851296,1027.15983571809,1077.60974116733,1007.73421308707,968.366850740494,999.665197198612,1037.01513111641,942.138406270718,831.13460297465,919.406229682574,1094.80960339562,1017.82446170252,1119.1005615914,880.180512978216,1092.95909186937,1096.18248592082,1184.10615175614
