,bis_1,bis_2,bis_3,bis_4,bis_5,bis_6,bis_7,bis_8,bis_9,bis_10,bis_11,bis_12,bis_13,bis_14,bis_15,bis_16,bis_17,bis_18,bis_19,bis_20,bis_21,bis_22,bis_23,bis_24,bis_25,bis_26,bis_27,bis_28
1064,-0.022819076795405506,0.04267781969786192,-0.059521654920469555,0.09559545404631664,0.049542834624038246,-0.13647052469297025,-0.10219243940042678,0.0200512572337695,0.04204709676154082,-0.03335284256342492,-0.06513555729005047,-0.18443698320882368,0.06369572442023354,-0.05912673718092468,-0.09556187090944566,0.0458062825796651,0.055415760017098734,-0.04534288330924946,-0.010396663170973389,-0.2353335561455963,0.027072820743386482,0.02004480786126388,0.06823820927808426,-0.08337885136134389,0.05853163504298395,-0.22698290559693093,0.11159168604512808,0.012543926426385759
1065,-0.02139750103198882,0.043899313492863704,-0.06048204804505308,0.061083320812957524,0.0481005669512055,-0.15283385465933663,-0.11541358797902482,0.01953453866722189,0.0368888217634434,-0.03153151584156606,-0.06408258373380275,-0.20595763682785803,0.05685958989885916,-0.057139062576390134,-0.10347403450513282,0.044713809184310706,0.05285337585100347,-0.037298961562008806,-0.01137714418602809,-0.28343445707848325,0.030345102305668812,0.02257785342088366,0.06739555180287235,-0.08554311331565367,0.0506530272238946,-0.23024210332560516,0.11992295121995686,0.013759029305555674
1066,-0.019784369675453776,0.04499865790836532,-0.057920683443288094,0.030022400902935016,0.04680252604566597,-0.16756085162908627,-0.127312621699763,0.019069491957319093,0.032246374265154976,-0.029892321791863408,-0.063952148102149,-0.2253262250849591,0.050707068829621574,-0.05535015543230905,-0.11059498174124167,0.04373058312850241,0.05054723010152769,-0.030059431989512112,-0.012259577099566772,-0.36502056598806987,0.03329015571173221,0.024857594424541465,0.06663716007518163,-0.08749094907452325,0.04356228018646753,-0.2331753812814425,0.12742108987735556,0.014852621896846028
1067,-0.018332551454572237,0.04598806788231676,-0.05561545530171026,0.0020675729839140316,0.04563428923067045,-0.18081514890185096,-0.1380217520484267,0.018650949918406576,0.028068171516696074,-0.02841704714711557,-0.06401722517289139,-0.24275795451638982,0.04516979986728825,-0.05374013900264602,-0.11700383425374922,0.04284567967827423,0.04847169892699948,-0.023543855374254432,-0.013053766721762346,-0.43465074355069894,0.035940703777180096,0.026909361327833493,0.06595460752025997,-0.03680242801031503,0.03718060785256126,-0.23581533144166555,0.1341694146689945,0.01583685522905108
1068,-0.0170259150557888,0.04687853685887378,-0.053540749974289495,-0.02309177214320415,0.044582876097174484,-0.19274401644732927,-0.14765996936222475,0.018274262083385312,0.024307789043082322,-0.02708929996680905,-0.06407579453653894,-0.2584465110046775,0.040186257801179674,-0.052291124215939344,-0.12277180151500701,0.04204926657306958,0.046603720869914496,-0.01767983642053318,-0.013768537381728504,-0.43343425145587755,0.03832619703609319,0.02875595154079703,0.06534031022083049,0.016341466674242012,0.031437102751846004,-0.2381912865858663,0.14024290698152939,0.01672266522805618
1069,-0.015849942296873757,0.047679958937774394,-0.051673515179600865,-0.04573518275761123,0.043636604277038055,-0.20347999723827964,-0.15633436494463235,0.01793524303187683,0.02092344481683063,-0.025894327504521225,-0.0641285069638317,-0.27256621184412577,0.035701069941674206,-0.050987010907913285,-0.12796297205011867,0.04133249477838469,0.04492254061854759,-0.0124022193621741,-0.014411830975708074,-0.31154604963402854,0.040473140969104364,0.03041788273246351,0.06478744265134395,0.064170971890354,0.026267948161022712,-0.24032964621566688,0.14570905006278626,0.01751989422718832
1070,-0.014791566813849506,0.04840123880878495,-0.04999300386439104,-0.0661142523105769,0.04278495963890568,-0.2131423799501151,-0.16414132096880985,0.015284304973908472,0.017877535013204087,-0.024818852288433845,-0.06417594814839517,-0.2852739425996399,0.03166440086812226,-0.04981330893067988,-0.13263502553173007,0.04068740016316828,0.04340947839230743,-0.007652364009640271,-0.01499079521027981,-0.08931758249526228,0.04240539050883507,0.03191362080496334,0.06428986183880607,0.10721752658485409,0.02161570902911029,-0.2422541698824682,0.15062857883597303,0.018237400326442086
1071,-0.01383902887912839,0.04905039069270439,-0.04848054368070291,-0.08445541490825667,0.04201847946458619,-0.22183852439078688,-0.1711675813905696,0.011746921624717353,0.015136216189939464,-0.023850924593947935,-0.064218645214503,-0.29671090027960256,0.028031398701909273,-0.04875697715116911,-0.1368398736651905,0.04010681500947423,0.04204772238870123,-0.0033774941923804314,-0.015511863021404386,0.1589314357608248,0.044144415094572856,0.033259785070213196,0.06384203910753192,0.14595942580989424,0.017428693810253797,-0.2439862411825887,0.15505615473181486,0.01888315581578267
1072,-0.012981744737879386,0.04963462738822266,-0.047119329515382884,-0.10096246124615782,0.04132864730769865,-0.2296650543873915,-0.17749121577015264,0.008563276610444634,0.012669029249001998,-0.022979789668884438,-0.06425707257399935,-0.3070041621915292,0.024761696752311928,-0.04780627854962008,-0.14062423698530435,0.03958428837114887,0.04082214198544606,0.0004698886431633723,-0.01598082405141656,0.36744979074579853,0.04570953722174613,0.034471332908938064,0.07830745558652563,0.1808271351124403,0.01366038011315231,-0.24554510535272697,0.15904097303812448,0.019464335756209896
1073,-0.01221018901076523,0.050160440414188406,-0.045894236766594855,-0.11581880295026957,0.04070779836649986,-0.23670893138431573,-0.18318248671177811,0.005697996097599896,0.010448561002157549,-0.022195768236323955,-0.06429165719754605,-0.3162680979123029,0.021818964997669218,-0.046950649808216,-0.1440301639733978,0.03911401439665676,0.03971911962252599,0.003932533195153506,-0.01702151741862749,0.535401226175175,0.047118147136192876,0.035561725963780495,0.09195195540624987,0.2122080734847325,0.01026889778564349,-0.2469480831058216,0.16262730951377433,0.019987397702612805
1074,-0.011515788856352542,0.05063367213755757,-0.04479165329267568,-0.12918951048396946,0.040149034319420955,-0.24304842068156818,-0.18830463055924102,0.0031192436360396336,0.008450139579998241,-0.02149014894699695,-0.06432278335872814,-0.32460564006098935,0.019170506418496488,-0.04618058394096228,-0.14709549826269128,0.03364238750829362,0.038726399495897935,0.0070489132919439165,-0.02233585969134836,0.7154217325801262,0.04838589605919498,0.036543079713148637,0.10423200524400096,0.2404509180197848,0.007216563690779911,-0.24821076308360673,0.16585501234190886,0.02045815345440204
